"UniqueString_x","DeviceName","DeviceIdentifier","DeviceType","Manufacturer","Model","UniqueString_y","FirstName","LastName","Company","PhoneNumber","WorkNumber","HomeNumber","MobileNumber","Email"
"a1","","Device1","Mobile Phone","","","","James","Smith","","0493105144","","","",""
"a2","","Device1","Mobile Phone","","","","John","Jones","","0485593589","","","",""
"a3","","Device2","Mobile Phone","","","","Jim","Smyth","","0493105144","","","",""
"a4","","Device2","Mobile Phone","","","","Jason","Smeeth","","0492545443","","","",""
"","","Device3","Mobile Phone","","","","Jimmy","Jones","","0493105144","","","",""
"","","Device1","Mobile Phone","","","","Jase","Johns","","0401236026","","","",""
"","","Device3","","","","","","","","0410024337","","","",""
"","","Device1","","","","","","","","0444175970","","","",""
"","","Device1","","","","","","","","0415148685","","","",""
"","","Device1","","","","","","","","0452337811","","","",""
"","","Device1","","","","","","","","0480711734","","","",""
"","","Device1","","","","","","","","0481341522","","","",""
"","","Device1","","","","","","","","0472188688","","","",""
"","","Device1","","","","","","","","0482296139","","","",""
"","","Device1","","","","","","","","0453764746","","","",""
"","","Device2","","","","","","","","0484883974","","","",""
"","","Device2","","","","","","","","0498119243","","","",""
"","","Device1","","","","","","","","0446132996","","","",""
"","","Device1","","","","","","","","0455017692","","","",""
"","","Device1","","","","","","","","0406446853","","","",""
"","","Device1","","","","","","","","0411349707","","","",""
"","","Device1","","","","","","","","0424951671","","","",""
"","","Device1","","","","","","","","0485338512","","","",""
"","","Device1","","","","","","","","0421765633","","","",""
"","","Device1","","","","","","","","0418170029","","","",""
"","","Device1","","","","","","","","0466704564","","","",""
"","","Device1","","","","","","","","0410643673","","","",""
"","","Device1","","","","","","","","0472533034","","","",""
"","","Device1","","","","","","","","0471438611","","","",""
"","","Device1","","","","","","","","0488858430","","","",""
"","","Device1","","","","","","","","0423155715","","","",""
"","","Device1","","","","","","","","0446484852","","","",""
"","","Device1","","","","","","","","0495292830","","","",""
"","","Device1","","","","","","","","0413116225","","","",""
"","","Device1","","","","","","","","0486735831","","","",""
"","","Device1","","","","","","","","0409801075","","","",""
"","","Device1","","","","","","","","0449927529","","","",""
"","","Device1","","","","","","","","0421797537","","","",""
"","","Device1","","","","","","","","0414966973","","","",""
"","","Device1","","","","","","","","0477277290","","","",""
"","","Device1","","","","","","","","0435246332","","","",""
"","","Device1","","","","","","","","0487138004","","","",""
"","","Device1","","","","","","","","0460476601","","","",""
"","","Device1","","","","","","","","0474732743","","","",""
"","","Device1","","","","","","","","0409494578","","","",""
"","","Device1","","","","","","","","0471819692","","","",""
"","","Device1","","","","","","","","0495710644","","","",""
"","","Device1","","","","","","","","0481866825","","","",""
"","","Device1","","","","","","","","0451637390","","","",""
"","","Device1","","","","","","","","0414796589","","","",""
"","","Device1","","","","","","","","0408527062","","","",""
"","","Device1","","","","","","","","0418603426","","","",""
"","","Device1","","","","","","","","0428748716","","","",""
"","","Device1","","","","","","","","0479103646","","","",""
"","","Device1","","","","","","","","0474081034","","","",""
"","","Device1","","","","","","","","0417696390","","","",""
"","","Device1","","","","","","","","0449922872","","","",""
"","","Device1","","","","","","","","0434833975","","","",""
"","","Device1","","","","","","","","0475219302","","","",""
"","","Device1","","","","","","","","0498435876","","","",""
"","","Device1","","","","","","","","0419431835","","","",""
"","","Device1","","","","","","","","0496428780","","","",""
"","","Device1","","","","","","","","0499293814","","","",""
"","","Device1","","","","","","","","0472182109","","","",""
"","","Device1","","","","","","","","0441003788","","","",""
"","","Device1","","","","","","","","0436787883","","","",""
"","","Device1","","","","","","","","0443899810","","","",""
"","","Device1","","","","","","","","0473254686","","","",""
"","","Device1","","","","","","","","0420017253","","","",""
"","","Device1","","","","","","","","0426411835","","","",""
"","","Device2","","","","","","","","0426411835","","","",""
"","","Device2","","","","","","","","0431357912","","","",""
"","","Device2","","","","","","","","0488813704","","","",""
"","","Device2","","","","","","","","0457096419","","","",""
"","","Device2","","","","","","","","0424887265","","","",""
"","","Device2","","","","","","","","0461130202","","","",""
"","","Device2","","","","","","","","0446832866","","","",""
"","","Device2","","","","","","","","0485092876","","","",""
"","","Device2","","","","","","","","0459410920","","","",""
"","","Device2","","","","","","","","0488590111","","","",""
"","","Device1","","","","","","","","0423202530","","","",""
"","","Device1","","","","","","","","0472567741","","","",""
"","","Device1","","","","","","","","0456535514","","","",""
"","","Device1","","","","","","","","0428355139","","","",""
"","","Device1","","","","","","","","0443610639","","","",""
"","","Device1","","","","","","","","0496101077","","","",""
"","","Device1","","","","","","","","0495644369","","","",""
"","","Device1","","","","","","","","0448173405","","","",""
"","","Device1","","","","","","","","0447211875","","","",""
"","","Device1","","","","","","","","0432703177","","","",""
"","","Device1","","","","","","","","0416868795","","","",""
"","","Device2","","","","","","","","0486876114","","","",""
"","","Device2","","","","","","","","0486876114","","","",""
"","","Device1","","","","","","","","0410750745","","","",""
"","","Device1","","","","","","","","0445755977","","","",""
"","","Device1","","","","","","","","0443746350","","","",""
"","","Device1","","","","","","","","0423236260","","","",""
"","","Device1","","","","","","","","0431114657","","","",""
"","","Device1","","","","","","","","0474649275","","","",""
"","","Device1","","","","","","","","0449967638","","","",""
"","","Device4","","","","","","","","0449967638","","","",""
